2026/02/06 19:05:38.313288 main.go:79: [MONITOR] PID=27436 | Goroutines=4 | Alloc=1.32 MiB | TotalAlloc=1.32 MiB | Sys=7.02 MiB | NumGC=0 | IO(R/W)=20.46/0.00 MiB | IO(R/W)=0.00/0.00 MiB/s
2026/04/01 19:50:24.320455 main.go:154: Starting UI mode...
2026/04/01 19:50:29.177147 pdf_memhook.go:48: [pdf-mem] phase=pdf:IFilter:try_snippets file=$I3SJQBU.pdf | Alloc=0.63MiB Sys=6.77MiB HeapInuse=1.56MiB HeapObjs=1437 Mallocs=1483 NumGC=0 | activePDF=0
2026/04/01 19:50:29.177661 pdf_memhook.go:48: [pdf-mem] phase=pdf:IFilter:try_snippets file=$R3SJQBU.pdf | Alloc=0.64MiB Sys=6.77MiB HeapInuse=1.57MiB HeapObjs=1456 Mallocs=1505 NumGC=0 | activePDF=0
2026/04/01 19:50:29.219561 pdf_memhook.go:48: [pdf-mem] phase=pdf:purego:snippets_begin file=$I3SJQBU.pdf | Alloc=2.99MiB Sys=16.14MiB HeapInuse=3.87MiB HeapObjs=1555 Mallocs=5114 NumGC=19 | activePDF=0
2026/04/01 19:50:29.220075 pdf_memhook.go:48: [pdf-mem] phase=pdf:slot:acquired file=$I3SJQBU.pdf | Alloc=2.49MiB Sys=16.14MiB HeapInuse=3.38MiB HeapObjs=1594 Mallocs=5206 NumGC=19 | activePDF=1
2026/04/01 19:50:29.219561 pdf_memhook.go:48: [pdf-mem] phase=pdf:purego:snippets_begin file=$R3SJQBU.pdf | Alloc=1.77MiB Sys=16.14MiB HeapInuse=2.66MiB HeapObjs=1546 Mallocs=5155 NumGC=19 | activePDF=0
2026/04/01 19:50:29.220075 pdf_memhook.go:48: [pdf-mem] phase=pdf:slot:acquired file=$R3SJQBU.pdf | Alloc=2.69MiB Sys=16.14MiB HeapInuse=3.58MiB HeapObjs=1613 Mallocs=5228 NumGC=19 | activePDF=2
2026/04/01 19:50:29.222148 pdf_memhook.go:48: [pdf-mem] phase=pdf:purego:NewReader_ok file=$R3SJQBU.pdf | Alloc=3.19MiB Sys=16.39MiB HeapInuse=4.05MiB HeapObjs=1688 Mallocs=5634 NumGC=21 | activePDF=1
2026/04/01 19:50:29.223810 pdf_memhook.go:48: [pdf-mem] phase=pdf:purego:snippets_pages=18 file=$R3SJQBU.pdf | Alloc=2.57MiB Sys=16.64MiB HeapInuse=3.53MiB HeapObjs=1829 Mallocs=6781 NumGC=23 | activePDF=1
2026/04/01 19:50:29.263755 pdf_memhook.go:67: [pdf-mem] page file=$R3SJQBU.pdf page=1 plainLen=5440 | Alloc=3.28MiB HeapInuse=4.22MiB | activePDF=1
2026/04/01 19:50:29.297539 pdf_memhook.go:67: [pdf-mem] page file=$R3SJQBU.pdf page=2 plainLen=5509 | Alloc=2.98MiB HeapInuse=4.06MiB | activePDF=1
2026/04/01 19:50:29.340868 pdf_memhook.go:67: [pdf-mem] page file=$R3SJQBU.pdf page=3 plainLen=5206 | Alloc=3.24MiB HeapInuse=4.30MiB | activePDF=1
2026/04/01 19:50:29.415547 pdf_memhook.go:67: [pdf-mem] page file=$R3SJQBU.pdf page=4 plainLen=3740 | Alloc=2.30MiB HeapInuse=3.27MiB | activePDF=1
2026/04/01 19:50:29.440073 pdf_memhook.go:48: [pdf-mem] phase=pdf:IFilter:try_snippets file=南京邮电大学博士研究生培养方案（2023级）.pdf | Alloc=0.98MiB Sys=49.39MiB HeapInuse=2.00MiB HeapObjs=1869 Mallocs=40812 NumGC=191 | activePDF=0
2026/04/01 19:50:29.444696 pdf_memhook.go:48: [pdf-mem] phase=pdf:IFilter:try_snippets file=A_Reinforcement_Learning-Based_ELF_Adversarial_Malicious_Sample_Generation_Method.pdf | Alloc=2.46MiB Sys=49.39MiB HeapInuse=3.48MiB HeapObjs=18944 Mallocs=66406 NumGC=192 | activePDF=0
2026/04/01 19:50:29.443159 pdf_memhook.go:48: [pdf-mem] phase=pdf:IFilter:try_snippets file=研究生成绩单统计.pdf | Alloc=2.21MiB Sys=49.39MiB HeapInuse=3.30MiB HeapObjs=13803 Mallocs=60540 NumGC=192 | activePDF=0
2026/04/01 19:50:29.442128 pdf_memhook.go:48: [pdf-mem] phase=pdf:IFilter:try_snippets file=在读证明.pdf | Alloc=1.80MiB Sys=49.39MiB HeapInuse=3.02MiB HeapObjs=5393 Mallocs=50510 NumGC=192 | activePDF=0
2026/04/01 19:50:29.472651 pdf_memhook.go:48: [pdf-mem] phase=pdf:purego:snippets_begin file=在读证明.pdf | Alloc=2.48MiB Sys=49.39MiB HeapInuse=3.59MiB HeapObjs=19404 Mallocs=66877 NumGC=192 | activePDF=0
2026/04/01 19:50:29.472651 pdf_memhook.go:48: [pdf-mem] phase=pdf:purego:snippets_begin file=A_Reinforcement_Learning-Based_ELF_Adversarial_Malicious_Sample_Generation_Method.pdf | Alloc=2.48MiB Sys=49.39MiB HeapInuse=3.59MiB HeapObjs=19421 Mallocs=66897 NumGC=192 | activePDF=0
2026/04/01 19:50:29.473178 pdf_memhook.go:48: [pdf-mem] phase=pdf:slot:acquired file=A_Reinforcement_Learning-Based_ELF_Adversarial_Malicious_Sample_Generation_Method.pdf | Alloc=2.49MiB Sys=49.39MiB HeapInuse=3.59MiB HeapObjs=19450 Mallocs=66932 NumGC=192 | activePDF=2
2026/04/01 19:50:29.473178 pdf_memhook.go:48: [pdf-mem] phase=pdf:purego:snippets_begin file=研究生成绩单统计.pdf | Alloc=2.49MiB Sys=49.39MiB HeapInuse=3.59MiB HeapObjs=19468 Mallocs=66953 NumGC=192 | activePDF=2
2026/04/01 19:50:29.473178 pdf_memhook.go:48: [pdf-mem] phase=pdf:slot:acquired file=在读证明.pdf | Alloc=2.49MiB Sys=49.39MiB HeapInuse=3.59MiB HeapObjs=19444 Mallocs=66923 NumGC=192 | activePDF=2
